Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54716655,Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones),Marianne Bellotti,"Bellotti, Marianne",,"=""1718501188""","=""9781718501188""",0,4.19,No Starch Press,Paperback,220,2021,,,2021/12/05,"currently-reading, business, programming","currently-reading (#13), business (#16), programming (#20)",currently-reading,,,,1,0
25655712,JavaScript with Promises: Managing Asynchronous Code,Daniel Parker,"Parker, Daniel",,"=""""","=""""",4,3.89,O'Reilly Media,Kindle Edition,94,2015,2014,,2022/10/01,programming,programming (#19),read,,,,1,0
57573212,Learning Domain-Driven Design: Aligning Software Architecture and Business Strategy,Vladik Khononov,"Khononov, Vladik",,"=""1098100131""","=""9781098100131""",0,4.54,O'Reilly Media,Paperback,340,2021,,,2022/02/27,"currently-reading, business","currently-reading (#12), business (#15)",currently-reading,,,,1,0
48816586,Software Engineering at Google: Lessons Learned from Programming Over Time,Titus Winters,"Winters, Titus","Tom Manshreck, Hyrum Wright","=""1492082791""","=""9781492082798""",0,4.20,O'Reilly Media,Paperback,602,2020,2020,,2021/09/02,currently-reading,currently-reading (#11),currently-reading,,,,1,0
57345272,Code That Fits in Your Head: Heuristics for Software Engineering,Mark Seemann,"Seemann, Mark",,"=""0137464401""","=""9780137464401""",0,4.09,Addison-Wesley Professional,Paperback,406,2021,,,2022/02/27,to-read,to-read (#96),to-read,,,,0,0
25531393,Patterns Principles and Practices of Domain Driven Design,Scott Millett,"Millett, Scott",Nick Tune,"=""""","=""""",0,4.36,Wrox,Paperback,736,2015,2014,,2022/02/27,to-read,to-read (#95),to-read,,,,0,0
54466852,Domain-Driven Design — The First 15 Years: Essays from the DDD Community,DDD Community,"Community, DDD","Rebecca Wirfs-Brock, Martin Fowler, Mathias Verraes, Mel Conway, Alberto Brandolini, Paul Rayner, Scott Wlaschin, David West, Scott Millett","=""""","=""""",0,3.92,,Kindle Edition,,2020,,,2022/02/27,to-read,to-read (#94),to-read,,,,0,0
6608313,Cyanide and Happiness,Kris Wilson,"Wilson, Kris","Matt Melvin, Rob DenBleyker, Dave McElfatrick","=""0061914797""","=""9780061914799""",0,4.16,It Books,Paperback,160,2010,2005,,2021/11/23,to-read,to-read (#93),to-read,,,,0,0
40993344,Automating Humanity,Joe Toscano,"Toscano, Joe",,"=""1576879208""","=""9781576879207""",0,3.57,powerHouse Books,Hardcover,288,2018,,,2021/11/12,to-read,to-read (#92),to-read,,,,0,0
44573628,Super Pumped: The Battle for Uber,Mike Isaac,"Isaac, Mike",,"=""0393652246""","=""9780393652246""",0,4.14,W. W. Norton  Company,Hardcover,408,2019,2019,,2021/11/12,to-read,to-read (#91),to-read,,,,0,0
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",0,4.24,Prentice Hall,Paperback,432,2017,2017,,2021/10/27,currently-reading,currently-reading (#10),currently-reading,,,,1,0
17239285,Microinteractions: Designing with Details,Dan Saffer,"Saffer, Dan",,"=""144934268X""","=""9781449342685""",0,4.02,O'Reilly Media,Paperback,170,2013,2013,,2021/10/27,to-read,to-read (#90),to-read,,,,0,0
52715562,The Pragmatic Programmer: Your Journey to Mastery,David Thomas,"Thomas, David",Andrew Hunt,"=""""","=""""",5,4.33,Addison-Wesley Professional,Kindle Edition,352,2019,1999,2021/10/25,2020/11/17,,,read,,,,1,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2021/10/25,to-read,to-read (#89),to-read,,,,0,0
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,"=""1250194466""","=""9781250194466""",0,4.07,St. Martin's Press,Hardcover,264,2018,2018,,2021/10/19,to-read,to-read (#88),to-read,,,,0,0
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""030726999X""","=""9780307269997""",0,4.23,Knopf,Hardcover,566,2010,2007,,2021/10/19,to-read,to-read (#87),to-read,,,,0,0
84525,What Got You Here Won't Get You There,Goldsmith Marshall,"Marshall, Goldsmith",,"=""""","=""9781781251560""",0,3.95,PROFILE BOOKS,Paperback,256,2013,2006,,2021/10/16,to-read,to-read (#86),to-read,,,,0,0
35957156,"Lost and Founder: The Mostly Awful, Sometimes Awesome Truth about Building a Tech Startup",Rand Fishkin,"Fishkin, Rand",,"=""0735213321""","=""9780735213326""",0,4.36,Portfolio,Hardcover,300,2018,2018,,2021/10/16,to-read,to-read (#85),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Stephen R. Covey,"Covey, Stephen R.","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.06,McGraw-Hill,Paperback,240,2002,2002,,2021/10/12,to-read,to-read (#84),to-read,,,,0,0
52719441,Production Ready GraphQL,Marc-Andre Giroux,"Giroux, Marc-Andre",,"=""""","=""""",0,4.47,,ebook,180,2020,,,2021/10/11,currently-reading,currently-reading (#9),currently-reading,,,,1,0
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,"Eyal, Nir",Julie Li,"=""194883653X""","=""9781948836531""",0,3.75,Benbella Books,Hardcover,300,2019,2019,,2021/10/10,to-read,to-read (#83),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.38,Vintage,Paperback,512,2015,2011,,2021/08/25,currently-reading,currently-reading (#8),currently-reading,,,,1,0
